super_opeid,name,tier,tier_name,state,female,par_mean,k_mean
7531,Academy Of Art University,10,Four-year for-profit,CA,0.4142569,166594.9696,39988.01721
1111,Allan Hancock College,9,Two-year (public and private not-for-profit),CA,0.5262295,76983.84115,33651.39258
22418,"American Career College of Los Angeles, CA",11,Two-year for-profit,CA,0.82431054,55879.31641,27716.02799
1113,Antelope Valley College,9,Two-year (public and private not-for-profit),CA,0.53972697,71043.66439,32210.8752
21799,Argosy University,10,Four-year for-profit,CA,0.92997199,101653.7677,31006.41846
1116,Art Center College Of Design,8,Nonselective four-year private not-for-profit,CA,0.38812786,140836.1458,53629.40625
1117,Azusa Pacific University,6,Selective private,CA,0.6244204,172835.4881,47276.7129
1119,Barstow Community College,9,Two-year (public and private not-for-profit),CA,0.45327756,62711.74123,34251.57475
1122,Biola University,6,Selective private,CA,0.63925236,159678.221,44505.20001
1123,Brooks Institute,10,Four-year for-profit,CA,0.47634912,161301.604,35938.51075
8073,Butte College,9,Two-year (public and private not-for-profit),CA,0.47420523,81294.32462,34286.59561
1124,Cabrillo College,9,Two-year (public and private not-for-profit),CA,0.49319521,103351.7815,33680.19711
1125,California Baptist University,6,Selective private,CA,0.64864862,94525.19923,40537.43385
1127,California College Of The Arts,8,Nonselective four-year private not-for-profit,CA,0.58221024,160342.7458,37838.00831
22202,California Culinary Academy,11,Two-year for-profit,CA,0.38528138,110464.0925,34039.54725
1131,California Institute Of Technology,2,Other elite schools (public and private),CA,0.33216783,185591.1348,119502.5455
1132,California Institute Of The Arts,8,Nonselective four-year private not-for-profit,CA,0.45923913,205473.4941,46508.11575
1133,California Lutheran University,6,Selective private,CA,0.57888889,169644.5575,57255.63568
1134,California Maritime Academy,5,Selective public,CA,0.15217391,132454.2234,89270.23137
1143,California Polytechnic State University,5,Selective public,CA,0.46565855,169835.7176,76443.30962
1144,"California State Polytechnic University, Pomona",5,Selective public,CA,0.42013362,98379.03405,58449.62114
1150,California State University - Sacramento,5,Selective public,CA,0.58687133,107518.9904,51314.20331
39803,California State University Channel Islands,7,Nonselective four-year public,CA,,141960.9635,45810.76172
7993,"California State University, Bakersfield",5,Selective public,CA,0.64312041,84211.55416,47321.12536
1146,"California State University, Chico",5,Selective public,CA,0.56964475,150534.7388,56332.84072
1141,"California State University, Dominguez Hills",5,Selective public,CA,0.6971935,57771.22737,42627.00179
1138,"California State University, East Bay",5,Selective public,CA,0.65980864,104528.7794,55258.10369
1147,"California State University, Fresno",5,Selective public,CA,0.6037432,93996.48605,50156.2507
1137,"California State University, Fullerton",5,Selective public,CA,0.61668068,103739.6362,52188.20571
1139,"California State University, Long Beach",5,Selective public,CA,0.64032125,116773.1328,53931.90846
1140,"California State University, Los Angeles",5,Selective public,CA,0.62447017,52114.62349,44225.55413
32603,"California State University, Monterey Bay",5,Selective public,CA,0.58884299,123045.047,44659.59198
1153,"California State University, Northridge",5,Selective public,CA,0.58629012,84829.51677,49244.33341
1142,"California State University, San Bernardino",5,Selective public,CA,0.64688855,82251.9873,45793.71725
30113,"California State University, San Marcos",5,Selective public,CA,0.61340606,128226.3448,50603.34853
1157,"California State University, Stanislaus",5,Selective public,CA,0.66887784,83972.02921,44836.2289
9748,Carrington College California,11,Two-year for-profit,CA,0.91599542,59022.17318,26076.92122
23328,Center For Employment Training,12,Less than two-year schools of any type,CA,0.55517244,39084.00911,21629.48828
1161,Cerritos Community College,9,Two-year (public and private not-for-profit),CA,0.52829599,56123.49818,32951.94418
201,Chabot-Las Positas Community College District,9,Two-year (public and private not-for-profit),CA,0.49657103,101121.464,40258.29424
1163,Chaffey Community College,9,Two-year (public and private not-for-profit),CA,0.53472883,76332.50965,31579.25653
1164,Chapman University,4,Highly selective private,CA,0.57103372,233063.9002,55754.45067
1166,Citrus Community College,9,Two-year (public and private not-for-profit),CA,0.5257715,77666.00098,33443.44549
1170,Claremont Mckenna College,2,Other elite schools (public and private),CA,0.46992481,335092.9724,98125.4208
4,Coast Community College District,9,Two-year (public and private not-for-profit),CA,0.48081729,101057.1973,36782.17606
1178,College Of Marin,9,Two-year (public and private not-for-profit),CA,0.44603902,118352.0524,36083.40979
8903,College Of The Canyons,9,Two-year (public and private not-for-profit),CA,0.47413486,103185.4909,40109.35613
1182,College Of The Desert,9,Two-year (public and private not-for-profit),CA,0.50893742,59464.92465,31873.89079
1185,College Of The Redwoods,9,Two-year (public and private not-for-profit),CA,0.50093925,71567.55342,26270.2956
1186,College Of The Sequoias,9,Two-year (public and private not-for-profit),CA,0.50623345,66608.21153,32212.81047
1187,College Of The Siskiyous,9,Two-year (public and private not-for-profit),CA,0.39806762,85761.7108,33321.62227
20705,"Concordia University of Irvine, CA",6,Selective private,CA,0.66500831,131138.3081,44780.79943
44,Contra Costa Community College District,9,Two-year (public and private not-for-profit),CA,0.48887244,108743.3619,38786.84562
35424,Copper Mountain College,9,Two-year (public and private not-for-profit),CA,0.47808358,67192.23472,31708.20894
25964,Crimson Technical College,11,Two-year for-profit,CA,0.073717952,47183.26172,41296.77344
1192,Cuesta College,9,Two-year (public and private not-for-profit),CA,0.47643515,107517.4889,38964.53006
1196,Dominican University Of California,6,Selective private,CA,0.76029056,163987.119,55005.75188
1197,El Camino College,9,Two-year (public and private not-for-profit),CA,0.50492859,70792.21628,33298.01473
11112,Fashion Institute Of Design & Merchandising,10,Four-year for-profit,CA,0.9067024,130106.3724,35981.48958
8597,Feather River College,9,Two-year (public and private not-for-profit),CA,0.46554935,81433.79261,28948.29651
19,Foothill-Deanza Community College District,9,Two-year (public and private not-for-profit),CA,0.46625564,120318.3852,42251.74621
1253,Fresno Pacific University,6,Selective private,CA,0.69294608,83954.31628,43699.9181
1202,Gavilan College,9,Two-year (public and private not-for-profit),CA,0.51245755,96273.36366,35232.76896
23385,Glendale Career College,12,Less than two-year schools of any type,CA,0.76550388,53849.61801,24112.40303
1203,Glendale Community College,9,Two-year (public and private not-for-profit),CA,0.50336349,60158.27255,37418.35057
203,Grossmont-Cuyamaca Community College District,9,Two-year (public and private not-for-profit),CA,0.5098719,95826.83271,37289.85193
1209,Hartnell Community College,9,Two-year (public and private not-for-profit),CA,0.49192709,65456.23267,34724.02799
1171,Harvey Mudd College,2,Other elite schools (public and private),CA,0.3211382,207971.9583,109616.2766
17,Heald College,11,Two-year for-profit,CA,0.49498969,64024.20347,35981.13638
1149,Humboldt State University,5,Selective public,CA,0.579638,126254.5199,38719.98498
1214,Imperial Valley College,9,Two-year (public and private not-for-profit),CA,0.53970641,48809.86005,31419.64231
33953,International Career Development Center,11,Two-year for-profit,CA,0.73023254,36129.47396,18241.47721
25395,Irvine Valley College,9,Two-year (public and private not-for-profit),CA,0.47858822,120056.0569,36744.72466
13,Kern & North Orange County Community College Districts,9,Two-year (public and private not-for-profit),CA,0.51299232,77913.88572,35529.0356
1215,La Sierra University,6,Selective private,CA,0.57398373,114744.1669,52419.90745
