super_opeid,name,tier,tier_name,state,female,par_mean,k_mean
2666,Adelphi University,6,Selective private,NY,0.71840209,130723.7409084400,54029.66685596760
2860,Adirondack Community College - SUNY Office Of Community Colleges,9,Two-year (public and private not-for-profit),NY,0.5263952,75699.25195607090,33735.56870011630
2885,Albany College Of Pharmacy And Health Sciences,8,Nonselective four-year private not-for-profit,NY,0.59689921,90997.46875,115474.4401041670
2668,Alfred University,6,Selective private,NY,0.52639294,133071.2605674950,51684.43148311490
7572,American Musical & Dramatic Academy,8,Nonselective four-year private not-for-profit,NY,0.65619224,115011.5703125,32574.365234375
25256,Art Institute Of New York City ,11,Two-year for-profit,NY,0.43673471,64366.34010416670,30903.11352306550
2671,Bard College,4,Highly selective private,NY,0.5607143,340615.7279947920,39956.82317243300
2708,Barnard College,2,Other elite schools (public and private),NY,0.99564135,310543.0638037050,71527.04264768840
7394,"Berkeley College of New York, NY",10,Four-year for-profit,NY,0.6783154,61200.79279548890,40262.94811792960
2836,Binghamton University,3,Highly selective public,NY,0.54666668,117250.8661511080,78401.14824367090
13029,Boricua College,6,Selective private,NY,0.69729728,37878.39322916670,27806.56770833330
20757,Briarcliffe College,10,Four-year for-profit,NY,0.43687063,82617.98061096050,37482.70514620450
2862,Broome Community College,9,Two-year (public and private not-for-profit),NY,0.51482153,76614.34585790990,31871.51351945330
7273,CUNY Bernard M. Baruch College,5,Selective public,NY,0.55186212,66249.87844817640,69068.91660414740
2691,CUNY Borough Of Manhattan Community College,9,Two-year (public and private not-for-profit),NY,0.561055,45008.48356093290,34761.37122857990
2692,CUNY Bronx Community College,9,Two-year (public and private not-for-profit),NY,0.55779111,39859.1979445366,31412.16821121840
2687,CUNY Brooklyn College,5,Selective public,NY,0.59425551,81701.99677853670,53799.11341150130
2689,CUNY Hunter College,5,Selective public,NY,0.6918084,74827.43685478680,47546.28142048320
2693,CUNY John Jay College Of Criminal Justice,5,Selective public,NY,0.59527689,56952.99518610890,49034.96503885040
10051,CUNY Laguardia Community College,9,Two-year (public and private not-for-profit),NY,0.57838142,42930.78843024900,34091.89266655170
7022,CUNY Lehman College,5,Selective public,NY,0.67544484,45762.72521685940,42720.62429659700
10097,CUNY Medgar Evers College,5,Selective public,NY,0.69483566,44877.50818845360,34179.56222949680
2690,CUNY Queens College,5,Selective public,NY,0.61209625,93543.63790621040,55617.20726379430
4759,CUNY York College,5,Selective public,NY,0.68115944,46950.67206960480,40589.20853147650
8611,"CUNY, Hostos Community College",9,Two-year (public and private not-for-profit),NY,0.69263458,34486.35480479820,30712.70612938210
2681,Canisius College,6,Selective private,NY,0.5196529,121289.8097682170,59455.41870653080
2861,Cayuga Community College - SUNY Office Of Community College,9,Two-year (public and private not-for-profit),NY,0.52403563,69391.90452058610,31976.74153607200
2685,Cazenovia College,6,Selective private,NY,0.71875,95134.14936266450,33215.49753289470
2688,City College Of New York - CUNY,5,Selective public,NY,0.47223812,54008.89980144530,60889.66355716940
